ITEM,CÓDIGO,DESCRIÇÃO,FONTE,UND,QUANTIDADE,"PREÇO UNITÁRIO R$","PREÇO TOTAL R$"
2.1.5,93381,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA 0,8 A 1,5 M, PROFUNDIDADE 1,5 A 3,0 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA E COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",SINAPI,M3,"326,24","R$ 12,12","R$ 3.954,03"
2.2,RESERVATÓRIO,,,,,,"R$ 1.196,64"
2.2.1,96521,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"8,71","R$ 41,33","R$ 359,98"
2.2.2,96525,ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME OU SAPATA CORRIDA COM MINI-ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"11,47","R$ 55,46","R$ 636,13"
2.2.3,101617,"PREPARO DE FUNDO DE VALA COM LARGURA MAIOR OU IGUAL A 1,5 M E MENOR QUE 2,5 M (ACERTO DO SOLO NATURAL). AF_08/2020",SINAPI,M2,"20,38","R$ 3,47","R$ 70,72"
2.2.4,93381,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA 0,8 A 1,5 M, PROFUNDIDADE 1,5 A 3,0 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA E COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",SINAPI,M3,"10,71","R$ 12,12","R$ 129,81"
2.3,ESTUTURA METÁLICA,,,,,,"R$ 3.967,49"
2.3.1,96521,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"79,62","R$ 41,33","R$ 3.290,69"
2.3.2,101617,"PREPARO DE FUNDO DE VALA COM LARGURA MAIOR OU IGUAL A 1,5 M E MENOR QUE 2,5 M (ACERTO DO SOLO NATURAL). AF_08/2020",SINAPI,M2,"56,03","R$ 3,47","R$ 194,42"
2.3.3,93381,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA 0,8 A 1,5 M, PROFUNDIDADE 1,5 A 3,0 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",SINAPI,M3,"39,80","R$ 12,12","R$ 482,38"
2.4,MURO,,,,,,"R$ 5.603,85"
2.4.1,96521,ESCAVAÇÃO MECANIZADA PARA BLOCO DE COROAMENTO OU SAPATA COM RETROESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"52,34","R$ 41,33","R$ 2.163,21"
2.4.2,94318,"ATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³ / POTÊNCIA: 88 HP), LARGURA ATÉ 1,5 M, PROFUNDIDADE DE 1,5 A 3,0 M, COM SOLO ARGILO-ARENOSO. AF_08/2023",SINAPI,M3,"1,63","R$ 63,99","R$ 104,30"
2.4.3,96525,ESCAVAÇÃO MECANIZADA PARA VIGA BALDRAME OU SAPATA CORRIDA COM MINI-ESCAVADEIRA (INCLUINDO ESCAVAÇÃO PARA COLOCAÇÃO DE FÔRMAS). AF_01/2024,SINAPI,M3,"44,46","R$ 55,46","R$ 2.465,75"
2.4.4,101617,"PREPARO DE FUNDO DE VALA COM LARGURA MAIOR OU IGUAL A 1,5 M E MENOR QUE 2,5 M (ACERTO DO SOLO NATURAL). AF_08/2020",SINAPI,M2,"84,60","R$ 3,47","R$ 293,56"
2.4.5,93381,"REATERRO MECANIZADO DE VALA COM RETROESCAVADEIRA (CAPACIDADE DA CAÇAMBA DA RETRO: 0,26 M³/POTÊNCIA: 88 HP), LARGURA 0,8 A 1,5 M, PROFUNDIDADE 1,5 A 3,0 M, COM SOLO (SEM SUBSTITUIÇÃO) DE 1ª CATEGORIA, COM COMPACTADOR DE SOLOS DE PERCUSSÃO. AF_08/2023",SINAPI,M3,"47,61","R$ 12,12","R$ 577,03"
3,FUNDAÇÕES,,,,,,"R$ 685.604,37"
3.1,CONCRETO ARMADO PARA FUNDAÇÕES - ESTACAS,,,,,,"R$ 138.552,58"
3.1.1,100897,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 40CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO). AF_01/2020_PA - EDIFICAÇÃO",SINAPI,M,"672,00","R$ 117,45","R$ 78.926,40"
3.1.2,FNDE 236,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 40CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO) - MURO",PRÓPRIA,M,"196,00","R$ 117,49","R$ 23.028,04"
3.1.3,FNDE 237,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 40CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO). RESERVATÓRIO",PRÓPRIA,M,"42,00","R$ 117,49","R$ 4.934,58"
3.1.4,FNDE 238,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 40CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO) - ESTRUTURA METÁLICA",PRÓPRIA,M,"269,50","R$ 117,49","R$ 31.663,56"
3.2,CONCRETO ARMADO PARA BLOCOS,,,,,,"R$ 179.350,01"
3.2.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"117,16","R$ 48,94","R$ 5.733,81"
3.2.2,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"509,09","R$ 80,66","R$ 41.063,20"
3.2.3,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"461,41","R$ 19,51","R$ 9.002,11"
3.2.4,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"1.303,85","R$ 17,49","R$ 22.804,34"
3.2.5,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"866,35","R$ 15,23","R$ 13.194,51"
3.2.6,104920,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"788,90","R$ 11,67","R$ 9.206,46"
3.2.7,104921,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 16 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"681,60","R$ 10,96","R$ 7.470,34"
3.2.8,104922,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 20 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"42,42","R$ 12,04","R$ 510,74"
3.2.9,92915,"ARMAÇÃO DE ESTRUTURAS DIVERSAS DE CONCRETO ARMADO, EXCETO VIGAS, PILARES, LAJES E FUNDAÇÕES, UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"400,05","R$ 18,37","R$ 7.348,92"
3.2.10,96557,"CONCRETAGEM DE BLOCOS DE COROAMENTO , FCK 30 MPA, COM USO DE BOMBA ? LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_06/2017",SINAPI,M3,"91,83","R$ 686,22","R$ 63.015,58"
3.3,CONCRETO ARMADO PARA FUNDAÇÕES - BLOCOS - MURO,,,,,,"R$ 43.654,90"
3.3.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"26,81","R$ 48,94","R$ 1.312,08"
3.3.2,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"101,48","R$ 80,66","R$ 8.185,38"
3.3.3,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"237,16","R$ 19,51","R$ 4.626,99"
3.3.4,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"318,53","R$ 15,23","R$ 4.851,21"
3.3.5,92915,"ARMAÇÃO DE ESTRUTURAS DIVERSAS DE CONCRETO ARMADO, EXCETO VIGAS, PILARES, LAJES E FUNDAÇÕES, UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"668,44","R$ 18,37","R$ 12.279,24"
3.3.6,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",SINAPI,M3,"18,07","R$ 686,22","R$ 12.400,00"
3.4,CONCRETO ARMADO PARA FUNDAÇÕES - BLOCOS - RESERVATÓRIO,,,,,,"R$ 5.626,30"
3.4.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"4,32","R$ 48,94","R$ 211,42"
3.4.2,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"17,28","R$ 80,66","R$ 1.393,80"
3.4.3,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"45,12","R$ 17,49","R$ 789,15"
3.4.4,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"95,51","R$ 15,23","R$ 1.454,62"
3.4.5,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",SINAPI,M3,"2,59","R$ 686,22","R$ 1.777,31"
3.5,CONCRETO ARMADO PARA FUNDAÇÕES - BLOCOS - METÁLICA,,,,,,"R$ 60.675,00"
3.5.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"52,67","R$ 48,94","R$ 2.577,67"
3.5.2,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"126,91","R$ 80,66","R$ 10.236,56"
3.5.3,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"349,32","R$ 19,51","R$ 6.815,23"
3.5.4,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"247,84","R$ 17,49","R$ 4.334,72"
3.5.5,104920,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"888,92","R$ 11,67","R$ 10.373,70"
3.5.6,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",SINAPI,M3,"38,38","R$ 686,22","R$ 26.337,12"
3.6,CONCRETO ARMADO PARA FUNDAÇÕES - VIGAS BALDRAMES,,,,,,"R$ 199.680,19"
3.6.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"161,96","R$ 48,94","R$ 7.926,32"
3.6.2,94968,"LASTRO DE CONCRETO NÃO ESTRUTURAL, ESPESSURA 7 CM, COM IMPERMEABILIZANTE - ENTRE BALDRAMES",SINAPI,M3,"80,21","R$ 513,25","R$ 41.167,78"
3.6.3,96536,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"844,75","R$ 69,61","R$ 58.803,05"
3.6.4,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"33,84","R$ 19,51","R$ 660,22"
3.6.5,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"1.381,41","R$ 17,49","R$ 24.160,86"
3.6.6,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"577,22","R$ 15,23","R$ 8.791,06"
3.6.7,104920,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"52,39","R$ 11,67","R$ 611,39"
3.6.8,92915,"ARMAÇÃO DE ESTRUTURAS DIVERSAS DE CONCRETO ARMADO, EXCETO VIGAS, PILARES, LAJES E FUNDAÇÕES, UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"699,26","R$ 18,37","R$ 12.845,41"
3.6.9,96557,"CONCRETAGEM DE BLOCOS DE COROAMENTO , FCK 30 MPA, COM USO DE BOMBA ? LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_06/2017",SINAPI,M3,"65,16","R$ 686,22","R$ 44.714,10"
3.7,CONCRETO ARMADO PARA FUNDAÇÕES - VIGAS BALDRAMES - MURO,,,,,,"R$ 36.466,63"
3.7.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"44,46","R$ 48,94","R$ 2.175,87"
3.7.2,94968,"LASTRO DE CONCRETO NÃO ESTRUTURAL, ESPESSURA 7 CM, COM IMPERMEABILIZANTE - EMTRE BALDRAMES",SINAPI,M3,"0,57","R$ 513,25","R$ 292,55"
3.7.3,96536,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"177,83","R$ 69,61","R$ 12.378,75"
3.7.4,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"474,53","R$ 17,49","R$ 8.299,53"
3.7.5,92915,"ARMAÇÃO DE ESTRUTURAS DIVERSAS DE CONCRETO ARMADO, EXCETO VIGAS, PILARES, LAJES E FUNDAÇÕES, UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"226,77","R$ 18,37","R$ 4.165,76"
3.7.6,96557,"CONCRETAGEM DE BLOCOS DE COROAMENTO , FCK 30 MPA, COM USO DE BOMBA ? LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_06/2017",SINAPI,M3,"13,34","R$ 686,22","R$ 9.154,17"
3.8,CONCRETO ARMADO PARA FUNDAÇÕES - VIGAS BALDRAMES - RESERVATÓRIO,,,,,,"R$ 9.891,66"
3.8.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"7,65","R$ 48,94","R$ 374,39"
3.8.2,96536,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"45,89","R$ 69,61","R$ 3.194,40"
3.8.3,96544,"ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"2,92","R$ 19,51","R$ 56,97"
3.8.4,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"5,49","R$ 17,49","R$ 96,02"
3.8.5,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"132,38","R$ 15,23","R$ 2.016,15"
3.8.6,104920,"ARMAÇÃO DE BLOCO, SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_01/2024",SINAPI,KG,"22,53","R$ 11,67","R$ 262,93"
3.8.7,92915,"ARMAÇÃO DE ESTRUTURAS DIVERSAS DE CONCRETO ARMADO, EXCETO VIGAS, PILARES, LAJES E FUNDAÇÕES, UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"40,34","R$ 18,37","R$ 741,05"
3.8.8,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",SINAPI,M3,"4,59","R$ 686,22","R$ 3.149,75"
3.9,CONCRETO ARMADO - RADIER - RESERVATÓRIO,,,,,,"R$ 9.853,62"
3.9.1,97086,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FORMA PARA RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, EM MADEIRA SERRADA, 4 UTILIZAÇÕES. AF_09/2021",SINAPI,M2,"25,01","R$ 139,38","R$ 3.485,89"
3.9.2,96545,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 8 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"266,49","R$ 17,49","R$ 4.660,91"
3.9.3,97096,"CONCRETAGEM DE RADIER, PISO DE CONCRETO OU LAJE SOBRE SOLO, FCK 30 MPA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_09/2021",SINAPI,M3,"2,87","R$ 594,71","R$ 1.706,82"
3.10,CONCRETO ARMADO PARA FUNDAÇÕES - VIGAS BALDRAMES - METÁLICA,,,,,,"R$ 1.853,48"
3.10.1,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",SINAPI,M2,"1,60","R$ 48,94","R$ 78,30"
3.10.2,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",SINAPI,M2,"9,60","R$ 80,66","R$ 774,34"
3.10.3,96546,ARMAÇÃO DE BLOCO UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024,SINAPI,KG,"22,46","R$ 15,23","R$ 342,07"
3.10.4,92915,"ARMAÇÃO DE ESTRUTURAS DIVERSAS DE CONCRETO ARMADO, EXCETO VIGAS, PILARES, LAJES E FUNDAÇÕES, UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"0,00","R$ 18,37","R$ 0,00"
3.10.5,96557,"CONCRETAGEM DE BLOCO DE COROAMENTO OU VIGA BALDRAME, FCK 30 MPA, COM USO DE BOMBA - LANÇAMENTO, ADENSAMENTO E ACABAMENTO. AF_01/2024",SINAPI,M3,"0,96","R$ 686,22","R$ 658,77"
4,SUPERESTRUTURA,,,,,,"R$ 1.486.287,96"
4.1,CONCRETO ARMADO - PILARES,,,,,,"R$ 165.065,62"
4.1.1,92443,"MONTAGEM E DESMONTAGEM DE FÔRMA DE PILARES RETANGULARES E ESTRUTURAS SIMILARES, PÉ-DIREITO SIMPLES, EM CHAPA DE MADEIRA COMPENSADA PLASTIFICADA, 18 UTILIZAÇÕES. AF_09/2020",SINAPI,M2,"886,58","R$ 54,94","R$ 48.708,71"
4.1.2,92760,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 6,3 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"3,98","R$ 14,36","R$ 57,15"
4.1.3,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.855,71","R$ 11,92","R$ 22.120,06"
4.1.4,92763,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 12,5 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.436,70","R$ 9,99","R$ 14.352,63"
4.1.5,92764,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 16,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"1.561,27","R$ 9,64","R$ 15.050,64"
4.1.6,92765,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 20,0 MM - MONTAGEM. AF_06/2022",SINAPI,KG,"126,75","R$ 10,98","R$ 1.391,72"
